MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367770270,2020-01-01T00:23:58,40.63982,-74.19113,0,80.3,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:00:08,40.63982,-74.19113,0,87.5,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367797720,2020-01-01T00:36:38,40.63982,-74.14568,0.1,46,196,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:00:06,40.63982,-74.14568,0.1,42,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:40:37,40.63982,-74.14567,0.1,46,233,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:03:45,40.63982,-74.14567,0.1,44,232,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:01:14,40.63982,-74.14567,0.1,42,234,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:51:24,40.63982,-74.14567,0.1,40,232,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:17:44,40.63982,-74.14566,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:20:45,40.63982,-74.14566,0.1,44,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:42:54,40.63982,-74.14565,0.1,46,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:55:25,40.63982,-74.14565,0.1,42,228,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:37:55,40.63982,-74.14564,0.1,42,232,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:41:25,40.63982,-74.14564,0.1,41,231,DAISY MAE,,WDJ6432,,0,,,,,B
367770270,2020-01-01T00:38:18,40.63983,-74.19116,0,80.3,72,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,A
367770270,2020-01-01T00:19:48,40.63983,-74.19114,0,80.1,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:22:48,40.63983,-74.19112,0,80.3,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367797720,2020-01-01T00:33:42,40.63983,-74.14574,0.1,58,167,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T00:35:28,40.63983,-74.14571,0.2,56,183,DAISY MAE,,WDJ6432,,0,,,,,A
367770270,2020-01-01T00:35:18,40.63984,-74.19116,0,80.3,73,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:44:18,40.63984,-74.19114,0,71.2,68,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367797720,2020-01-01T00:38:18,40.63984,-74.14569,0.1,46,217,DAISY MAE,,WDJ6432,,0,,,,,A
354800000,2020-01-01T03:08:12,40.63984,-74.06179,6.1,169.6,172,,,,,0,,,,,B
366836590,2020-01-01T02:18:38,40.63986,-74.19334,6.4,-190.4,511,ELLEN MCALLISTER,IMO8980892,WDG3673,31,15,33,9,4.3,52,B
366998820,2020-01-01T01:04:43,40.63986,-74.19231,4.7,115.8,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
367770270,2020-01-01T04:04:13,40.63988,-74.05605,4.6,-70,350,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,A
368056750,2020-01-01T02:19:34,40.63992,-74.19294,5.3,-137.4,248,,,,,0,,,,,A
366998820,2020-01-01T01:49:14,40.63994,-74.19491,0.6,125.2,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
367638940,2020-01-01T01:45:59,40.63995,-74.06703,0.9,165.6,511,NYPD 452,,WDH6530,,3,,,,,B
366998820,2020-01-01T01:35:54,40.63996,-74.19515,0.2,177.5,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,A
366998820,2020-01-01T01:38:44,40.63996,-74.19515,0,203.7,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
366998820,2020-01-01T01:45:43,40.63997,-74.19519,0.1,-190.2,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
367596760,2020-01-01T01:27:48,40.63997,-74.19181,5.4,44.3,47,CAPTAIN D,IMO8424587,WDH2354,31,0,27,7,3,,B
367797720,2020-01-01T02:35:22,40.63997,-74.14535,5.8,61.4,55,DAISY MAE,,WDJ6432,,0,,,,,A
367549830,2020-01-01T03:01:14,40.63998,-74.19321,4.3,-191,220,CURTIS REINAUER,IMO9653240,WDG5745,31,0,33,10,,,B
366836590,2020-01-01T01:22:48,40.63998,-74.05849,6.3,8.6,511,ELLEN MCALLISTER,IMO8980892,WDG3673,31,15,33,9,4.3,52,B
366998820,2020-01-01T01:48:04,40.63999,-74.19513,0.4,122.2,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
366998820,2020-01-01T01:34:44,40.63999,-74.19513,0.1,-156.4,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
366998820,2020-01-01T01:46:54,40.64001,-74.19521,0,-175.2,511,ST ANDREWS,,WDC2864,31,0,22,7,,52,B
636014121,2020-01-01T02:12:00,40.64001,-74.04851,0.9,153.4,350,SELINI,IMO9382956,A8RL6,80,1,228,32,14.3,80,B
636014121,2020-01-01T02:25:24,40.64001,-74.0471,0.3,31.4,323,SELINI,IMO9382956,A8RL6,80,1,228,32,14.3,80,A
367797260,2020-01-01T02:49:34,40.64001,-74.03817,0,61.3,199,H208,,WDJ6389,60,0,,,,,B
367797260,2020-01-01T00:49:30,40.64001,-74.03816,0,148.8,201,H208,,WDJ6389,60,0,,,,,B
366727190,2020-01-01T01:18:56,40.64003,-74.19258,7.2,-186.7,225,JILL REINAUER,IMO7042813,WCW9655,31,0,30,8,3.8,52,B
367778670,2020-01-01T01:48:33,40.64003,-74.03816,0,-94.1,200,H201,,WDJ4540,60,0,,,,,B
